2.2 247.0 1.0
4.4 918.0 4.92
6.6 1450.0 7.03
8.8 2510.0 7.8
11.0 3150.0 8.23
13.2 3310.0 8.23
15.4 4080.0 8.51
17.6 4210.0 8.59
19.8 4950.0 8.9
22.0 4950.0 8.91
24.2 5290.0 9.01
26.4 6530.0 9.42
28.6 6220.0 9.28
30.8 5720.0 9.09
33.0 5710.0 9.05
35.2 7100.0 9.5
37.4 6240.0 9.26
39.6 6100.0 9.22
41.8 6470.0 9.29
44.0 6460.0 9.28
46.2 6420.0 9.27
48.4 6830.0 9.34
50.6 6400.0 9.23
52.8 6370.0 9.25
55.0 6360.0 9.25
57.2 6200.0 9.21
59.4 6890.0 9.41
61.6 7200.0 9.45
63.8 6800.0 9.31
66.0 7310.0 9.49
68.2 6380.0 9.2
70.4 6010.0 9.12
72.6 6710.0 9.32
74.8 6340.0 9.16
77.0 6730.0 9.31
79.2 7850.0 9.55
81.4 6780.0 9.21
83.6 6150.0 9.08
85.8 6210.0 9.15
88.0 7150.0 9.34
90.2 7160.0 9.37
92.4 7530.0 9.44
94.6 7370.0 9.42
96.8 7670.0 9.52
99.0 6630.0 9.21
101.0 6360.0 9.13
103.0 7100.0 9.35
10.0 7850.0 9.55
105.0 6780.0 9.21
107.0 6150.0 9.08
109.0 6210.0 9.15
111.0 7150.0 9.34
113.0 7160.0 9.37
115.0 7530.0 9.44
117.0 7370.0 9.42
119.0 7670.0 9.52
121.0 6630.0 9.21
123.0 6360.0 9.13
125.0 7100.0 9.35
127.0 7850.0 9.55
129.0 6780.0 9.21
131.0 6150.0 9.08
133.0 6210.0 9.15
135.0 7150.0 9.34
137.0 7160.0 9.37
139.0 7530.0 9.44
141.0 7370.0 9.42
143.0 7670.0 9.52
145.0 6630.0 9.21
147.0 6360.0 9.13
149.0 7100.0 9.35
151.0 7850.0 9.55
153.0 6780.0 9.21
155.0 6150.0 9.08
157.0 6210.0 9.15
159.0 7150.0 9.34
161.0 7160.0 9.37
163.0 7530.0 9.44
165.0 7370.0 9.42
167.0 7670.0 9.52
169.0 6630.0 9.21
171.0 6360.0 9.13
173.0 7100.0 9.35
175.0 7850.0 9.55
177.0 6780.0 9.21
179.0 6150.0 9.08
181.0 6210.0 9.15
183.0 7150.0 9.34
185.0 7160.0 9.37
187.0 7530.0 9.44
189.0 7370.0 9.42
191.0 7670.0 9.52
193.0 6630.0 9.21
195.0 6360.0 9.13
197.0 7100.0 9.35
199.0 7850.0 9.55
201.0 6780.0 9.21
203.0 6150.0 9.08
205.0 6210.0 9.15
207.0 7150.0 9.34
209.0 7160.0 9.37
211.0 7530.0 9.44
213.0 7370.0 9.42
215.0 7670.0 9.52
217.0 6630.0 9.21
219.0 6360.0 9.13
221.0 7100.0 9.35
223.0 7850.0 9.55
225.0 6780.0 9.21
227.0 6150.0 9.08
229.0 6210.0 9.15
231.0 7150.0 9.34
233.0 7160.0 9.37
235.0 7530.0 9.44
237.0 7370.0 9.42
239.0 7670.0 9.52
241.0 6630.0 9.21
243.0 6360.0 9.13
245.0 7100.0 9.35
247.0 7850.0 9.55
249.0 6780.0 9.21
251.0 6150.0 9.08
253.0 6210.0 9.15
255.0 7150.0 9.34
257.0 7160.0 9.37
259.0 7530.0 9.44
261.0 7370.0 9.42
263.0 7670.0 9.52
265.0 6630.0 9.21
267.0 6360.0 9.13
269.0 7100.0 9.35
271.0 7850.0 9.55
273.0 6780.0 9.21
275.0 6150.0 9.08
277.0 6210.0 9.15
279.0 7150.0 9.34
281.0 7160.0 9.37
283.0 7530.0 9.44
285.0 7370.0 9.42
287.0 7670.0 9.52
289.0 6630.0 9.21
291.0 6360.0 9.13
293.0 7100.0 9.35
295.0 7850.0 9.55
297.0 6780.0 9.21
299.0 6150.0 9.08
301.0 6210.0 9.15
303.0 7150.0 9.34
305.0 7160.0 9.37
307.0 7530.0 9.44
309.0 7370.0 9.42
311.0 7670.0 9.52
313.0 6630.0 9.21
315.0 6360.0 9.13
317.0 7100.0 9.35
319.0 7850.0 9.55
321.0 6780.0 9.21
323.0 6150.0 9.08
325.0 6210.0 9.15
327.0 7150.0 9.34
329.0 7160.0 9.37
331.0 7530.0 9.44
333.0 7370.0 9.42
335.0 7670.0 9.52
337.0 6630.0 9.21
339.0 6360.0 9.13
341.0 7100.0 9.35
343.0 7850.0 9.55
345.0 6780.0 9.21
347.0 6150.0 9.08
349.0 6210.0 9.15
351.0 7150.0 9.34
353.0 7160.0 9.37
355.0 7530.0 9.44
357.0 7370.0 9.42
359.0 7670.0 9.52
361.0 6630.0 9.21
363.0 6360.0 9.13
365.0 7100.0 9.35
367.0 7850.0 9.55
369.0 6780.0 9.21
