7350	952.6867 	772.2331 	601.6433 	485.3043 	377.9525 	290.8220 	240.0184 	207.3910 	199.0243 
7500	957.9350 	779.6848 	610.8328 	493.6699 	385.4271 	297.2543 	246.7699 	214.4309 	204.8884 
7650	962.8350 	786.9091 	619.8399 	501.4834 	392.4839 	304.5377 	254.4589 	222.0411 	210.6259 
7800	968.3283 	794.4388 	628.9041 	509.3203 	399.6667 	312.3563 	259.7691 	225.2704 	216.3434 
7950	975.4849 	802.3149 	637.3978 	517.8716 	408.0131 	319.9071 	267.1730 	232.3011 	221.5980 
8100	978.4637 	807.2756 	644.1270 	525.1948 	415.7056 	327.4632 	275.3247 	240.2585 	225.9961 
8250	979.7789 	811.4740 	650.6764 	531.1700 	421.7226 	334.9083 	283.6643 	248.3100 	230.3507 
8400	981.1028 	816.0514 	658.0947 	539.1593 	429.5847 	341.0722 	288.9641 	252.9653 	234.2601 
8550	989.8499 	825.8132 	668.4055 	547.4567 	436.3265 	347.2882 	294.8187 	258.2602 	238.1695 
8700	996.5165 	832.7456 	675.6619 	555.3573 	444.2682 	353.9136 	301.0623 	263.9983 	242.0552 
8850	1001.6229 	838.8379 	682.6490 	562.7394 	451.6569 	360.4354 	307.5421 	270.1191 	245.9358 
9000	1006.3940 	845.1338 	689.8550 	567.4747 	455.7699 	368.0849 	314.4877 	275.1797 	249.4142 
9150	1010.8191 	850.8343 	696.5967 	573.9683 	462.2126 	374.9206 	320.4591 	279.8614 	252.6456 
9300	1015.4669 	856.6469 	703.5557 	581.9731 	470.1921 	380.4648 	325.5739 	284.6746 	255.5777 
9450	1020.7246 	863.8506 	712.3774 	590.6083 	478.6740 	388.8676 	333.3868 	291.0914 	258.4222 
9600	1026.5559 	870.1899 	719.1342 	597.2858 	485.0430 	394.4124 	338.7927 	296.0201 	261.0611 
9750	1025.5827 	872.9295 	724.9679 	602.8102 	490.4185 	400.0000 	344.0981 	300.5604 	263.7201 
9900	1025.4269 	875.8543 	730.5259 	608.5402 	496.6907 	407.6479 	350.7359 	305.3790 	266.4078 
10050	1030.1980 	881.4803 	736.8013 	614.3362 	502.0275 	412.5709 	355.8048 	310.1961 	269.0881 
10200	1030.8428 	884.8154 	742.4627 	620.3207 	507.9595 	417.6055 	360.7058 	314.7326 	271.7270 
10350	1032.9317 	888.5693 	747.7457 	626.3853 	514.2915 	423.0476 	365.7379 	319.1497 	274.3658 
10500	1037.6797 	893.5420 	752.8534 	631.1352 	519.4863 	430.4935 	372.1343 	323.5668 	277.0047 
10650	1040.3038 	897.5412 	758.0284 	636.3901 	524.4103 	434.1624 	376.2377 	327.8474 	278.9151 
10800	1048.5462 	904.1154 	763.3304 	642.5974 	530.2130 	436.6130 	379.0130 	331.1321 	279.6482 
