0.000 25.000
11.298 	26.626 
33.720 	88.750 
32.555 	147.887 
55.443 	186.356 
77.690 	257.350 
123.407 	337.244 
110.769 	378.625 
133.424 	428.921 
156.020 	482.174 
190.730 	520.657 
190.090 	553.183 
213.036 	588.694 
271.390 	627.206 
294.278 	665.675 
364.222 	716.029 
398.991 	751.555 
504.926 	775.341 
610.570 	813.912 
752.089 	831.828 
905.256 	858.629 
1023.072 	879.473 
1199.942 	903.346 
1341.403 	924.219 
1518.214 	951.049 
1671.555 	968.980 
1789.372 	989.824 
1907.479 	995.883 
2049.114 	1007.885 
2214.220 	1028.788 
2320.621 	1028.919 
2451.191 	1002.467 
2534.472 	975.957 
2629.692 	943.548 
2713.031 	914.081 
2807.843 	902.370 
3044.116 	911.532 
3174.103 	914.649 
3305.198 	861.586 
3376.831 	826.191 
3436.467 	799.652 
3472.575 	767.170 
3579.617 	734.775 
3757.768 	693.598 
3912.274 	652.391 
4007.260 	631.809 
4090.658 	599.386 
4185.761 	572.890 
4351.507 	561.267 
4481.728 	552.556 
4600.068 	546.788 
4718.466 	538.063 
4825.858 	487.928 
5062.247 	491.176 
5181.286 	449.925 
5299.743 	438.243 
5406.144 	438.374 
5536.307 	432.621 
5678.466 	418.011 
5773.686 	385.602 
5915.962 	365.079 
	
	
	
	
	
	
	
	
	
	
	
	
	
	
