680	73400	12.6
682	74900	12.3
684	71300	12.1
686	76000	12.6
689	74000	12.2
691	84300	12.6
693	79400	12.4
695	74800	12.7
697	83100	12.7
700	79600	12.3
702	72000	12
704	69400	12.2
706	83200	12.6
708	80800	12.3
711	70300	12.1
713	79400	12.6
715	77600	12.2
717	77500	12.6
719	79500	12.4
722	74800	12.7
724	80300	12.7
726	77300	12.3
728	73000	12
730	77800	12.2
733	76900	12.6
735	80500	12.3
737	79700	12.1
739	80600	12.6
741	73900	12.2
744	72700	12.6
746	85500	12.4
748	79300	12.7
750	66900	12.7
752	79200	12.3
755	73800	12
757	80400	12.2
759	78900	12.6
761	83400	12.3
763	69400	12.1
766	66700	12.6
768	67800	12.2
770	83100	12.6
772	76700	12.4
774	80300	12.7
777	77900	12.7
779	75000	12.3
781	77000	12
783	74300	12.2
785	85300	12.6
788	80200	12.3
790	85500	12.1
792	72500	12.6
794	67800	12.2
796	75400	12.6
799	77300	12.4
801	81400	12.7
803	63300	12.7
805	76900	12.3
807	73100	12
810	75900	12.2
812	64400	12.6
814	74300	12.3
816	78900	12.1
818	67600	12.6
821	79400	12.2
823	64300	12.6
825	69000	12.4
827	78900	12.7
829	80300	12.7
832	73300	12.3
834	78500	12
836	79400	12.2
838	82800	12.6
840	79900	12.3
843	71200	12.1
845	77400	12.6
847	67000	12.2
849	65900	12.6
851	67200	12.4
854	72300	12.7
856	73700	12.7
858	70200	12.3
860	81700	12
862	79300	12.2
865	76400	12.6
867	69100	12.3
869	69900	12.1
871	67300	12.6
873	68700	12.2
876	75000	12.6
878	85500	12.4
880	75300	12.7
882	79300	12.7
884	70600	12.3
887	76100	12
889	77100	12.2
891	70100	12.6
893	65400	12.3
895	68200	12.1
898	70300	12.6
900	69700	12.2
902	80100	12.6
904	73400	12.4
906	74900	12.7
909	71300	12.7
911	76000	12.3
913	74000	12
915	84300	12.2
917	79400	12.6
920	74800	12.3
922	83100	12.1
924	79600	12.6
926	72000	12.2
928	69400	12.6
931	83200	12.4
933	80800	12.7
935	70300	12.7
937	79400	12.3
939	77600	12
942	77500	12.2
944	79500	12.6
946	74800	12.3
948	80300	12.1
950	77300	12.6
953	73000	12.2
955	77800	12.6
957	76900	12.4
959	80500	12.7
961	79700	12.7
964	80600	12.3
966	73900	12
968	72700	12.2
970	85500	12.6
972	79300	12.3
975	66900	12.1
977	79200	12.6
979	73800	12.2
981	80400	12.6
983	78900	12.4
986	83400	12.7
988	69400	12.7
990	66700	12.3
992	67800	12
994	83100	12.2
997	76700	12.6
999	80300	12.3
1001	77900	12.1
1003	75000	12.6
1005	77000	12.2
1007	74300	12.6
1009	85300	12.4
1011	80200	12.7
1013	85500	12.7
1015	72500	12.3
1017	67800	12
1019	75400	12.2
1021	77300	12.6
1023	81400	12.3
1025	63300	12.1
1027	76900	12.6
1029	73100	12.2
1031	75900	12.6
1033	64400	12.4
1035	74300	12.7
1037	78900	12.7
1039	67600	12.3
1041	79400	12
1043	64300	12.2
1045	69000	12.6
1047	78900	12.3
1049	80300	12.1
1051	73300	12.6
1053	78500	12.2
1055	79400	12.6
1057	82800	12.4
1059	79900	12.7
1061	71200	12.7
1063	77400	12.3
1065	67000	12
1067	65900	12.2
1069	67200	12.6
1071	72300	12.3
1073	73700	12.1
1075	70200	12.6
1077	81700	12.2
1079	79300	12.6
1081	76400	12.4
1083	69100	12.7
1085	69900	12.7
1087	67300	12.3
1089	68700	12
1091	75000	12.2
1093	85500	12.6
1095	75300	12.3
1097	79300	12.1
1099	70600	12.6
1101	76100	12.2
1103	77100	12.6
1105	70100	12.4
1107	65400	12.7
1109	68200	12.7
1111	70300	12.3
1113	69700	12
1115	80100	12.2
1117	73400	12.6
1119	74900	12.3
1121	71300	12.1
1123	76000	12.6
1125	74000	12.2
1127	84300	12.6
1129	79400	12.4
1131	74800	12.7
1133	83100	12.7
1135	79600	12.3
1137	72000	12
1139	69400	12.2
1141	83200	12.6
1143	80800	12.3
1145	70300	12.1
1147	79400	12.6
1149	77600	12.2
1151	77500	12.6
1153	79500	12.4
1155	74800	12.7
1157	80300	12.7
1159	77300	12.3
1161	73000	12
1163	77800	12.2
1165	76900	12.6
1167	80500	12.3
1169	79700	12.1
1171	80600	12.6
1173	73900	12.2
1175	72700	12.6
1177	85500	12.4
1179	79300	12.7
1181	66900	12.7
1183	79200	12.3
1185	73800	12
1187	80400	12.2
1189	78900	12.6
1191	83400	12.3
1193	69400	12.1
1195	66700	12.6
1197	67800	12.2
1199	83100	12.6
1201	76700	12.4
1203	80300	12.7
1205	77900	12.7
1207	75000	12.3
1209	77000	12
1211	74300	12.2
1213	85300	12.6
1215	80200	12.3
1217	85500	12.1
1219	72500	12.6
1221	67800	12.2
1223	75400	12.6
1225	77300	12.4
1227	81400	12.7
1229	63300	12.7
1231	76900	12.3
1233	73100	12
1235	75900	12.2
1237	64400	12.6
1239	74300	12.3
1241	78900	12.1
1243	67600	12.6
1245	79400	12.2
1247	64300	12.6
1249	69000	12.4
1251	78900	12.7
1253	80300	12.7
1255	73300	12.3
1257	78500	12
1259	79400	12.2
1261	82800	12.6
1263	79900	12.3
1265	71200	12.1
1267	77400	12.6
1269	67000	12.2
1271	65900	12.6
1273	67200	12.4
1275	72300	12.7
1277	73700	12.7
1279	70200	12.3
1281	81700	12
1283	79300	12.2
1285	76400	12.6
1287	69100	12.3
1289	69900	12.1
1291	67300	12.6
1293	68700	12.2
1295	75000	12.6
1297	85500	12.4
1299	75300	12.7
1301	79300	12.7
1303	70600	12.3
1305	76100	12
1307	77100	12.2
1309	70100	12.6
1311	65400	12.3
1313	68200	12.1
1315	70300	12.6
1317	69700	12.2
1319	80100	12.6
1321	73400	12.4
1323	74900	12.7
1325	71300	12.7
1327	76000	12.3
1329	74000	12
1331	84300	12.2
1333	79400	12.6
1335	74800	12.3
1337	83100	12.1
1339	79600	12.6
1341	72000	12.2
1343	69400	12.6
1345	83200	12.4
1347	80800	12.7
1349	70300	12.7
1351	79400	12.3
1353	77600	12
1355	77500	12.2
1357	79500	12.6
1359	74800	12.3
1361	80300	12.1
1363	77300	12.6
1365	73000	12.2
1367	77800	12.6
1369	76900	12.4
1371	80500	12.7
1373	79700	12.7
1375	80600	12.3
1377	73900	12
1379	72700	12.2
1381	85500	12.6
1383	79300	12.3
1385	66900	12.1
1387	79200	12.6
1389	73800	12.2
1391	80400	12.6
