0.00 	49.48 
74.40 	113.09 
124.20 	164.92 
190.20 	282.72 
256.80 	485.34 
289.80 	617.28 
388.80 	643.19 
455.40 	659.69 
546.00 	692.67 
637.20 	695.03 
769.80 	728.01 
951.60 	758.64 
1175.40 	786.91 
1374.00 	812.83 
1564.20 	824.61 
1688.40 	834.03 
1754.40 	753.93 
1795.80 	685.60 
1878.60 	633.77 
1920.00 	591.36 
1986.00 	556.02 
2052.60 	525.39 
2135.40 	506.54 
2267.40 	459.42 
2383.20 	433.51 
2524.20 	402.88 
2681.40 	372.25 
2904.60 	343.98 
3095.40 	313.35 
3335.40 	289.79 
3649.80 	266.23 
3898.20 	247.38 
4138.20 	228.53 
4344.60 	214.40 
4535.40 	207.33 
4700.40 	197.91 
4800.00 	190.84 
