1950 736.6 462.255 299.289 194.352 127.392 91.946 70.7285 58.1085 52.8198
1980 740.542 466.295 302.906 197.481 129.683 93.5083 72.1227 59.3554 53.9654
2010 744.4 470.27 306.477 200.58 131.985 95.052 73.5158 60.6074 55.1173
2040 748.178 474.182 310.002 203.65 134.297 96.5945 74.9077 61.8635 56.2745
2070 751.877 478.032 313.484 206.69 136.617 98.1048 76.2964 63.1231 57.4364
2100 755.501 481.823 316.921 209.701 138.945 99.6154 77.6818 64.3851 58.602
2130 759.053 485.555 320.317 212.683 141.278 101.125 79.0621 65.6489 59.7708
2160 762.534 489.231 323.672 215.637 143.615 102.638 80.4371 66.9134 60.9417
2190 765.949 492.853 326.986 218.564 145.956 104.169 81.8057 68.178 62.1141
2220 769.298 496.422 330.26 221.462 148.298 105.717 83.1668 69.4417 63.2873
2250 772.585 499.938 333.497 224.334 150.642 107.279 84.5202 70.7038 64.4603
2280 775.81 503.405 336.695 227.179 152.985 108.86 85.8635 71.9634 65.6324
2310 778.978 506.822 339.857 229.999 155.326 110.453 87.1982 73.2198 66.803
2340 782.088 510.192 342.983 232.792 157.666 112.062 88.5193 74.4718 67.9711
2370 785.144 513.515 346.073 235.561 160.002 113.685 89.8312 75.719 69.136
2400 788.147 516.794 349.13 238.305 162.334 115.323 91.1254 76.96 70.297
2430 791.098 520.028 352.152 241.024 164.662 116.974 92.4088 78.1943 71.4532
2460 793.999 523.219 355.142 243.719 166.983 118.638 93.6716 79.4206 72.6038
2490 796.853 526.369 358.1 246.391 169.299 120.314 94.9224 80.6383 73.748
2520 799.659 529.478 361.026 249.04 171.607 122.001 96.1489 81.846 74.8849
2550 802.421 532.548 363.921 251.665 173.907 123.699 97.3623 83.0432 76.0136
2580 805.138 535.578 366.786 254.269 176.199 125.406 98.5466 84.2284 77.1334
2610 807.813 538.572 369.622 256.85 178.481 127.123 99.7179 85.4012 78.2433
2640 810.446 541.528 372.429 259.41 180.754 128.848 100.88 86.5596 79.3424
2670 813.039 544.448 375.207 261.948 183.017 130.581 102.04 87.7036 80.4299
2700 815.594 547.334 377.958 264.465 185.269 132.32 103.214 88.8306 81.5046
2730 818.11 550.185 380.682 266.962 187.51 134.066 104.395 89.9414 82.5657
2760 820.589 553.003 383.379 269.438 189.738 135.818 105.588 91.032 83.612
2790 823.033 555.788 386.05 271.894 191.955 137.574 106.788 92.1039 84.6426
2820 825.441 558.542 388.695 274.331 194.159 139.336 107.998 93.1526 85.6561
2850 827.816 561.264 391.316 276.747 196.35 141.1 109.217 94.179 86.6514
2880 830.157 563.956 393.912 279.145 198.528 142.868 110.445 95.1808 87.6274
