30	379.5	200.4	117.9	93.5	69.0	47.7	31.9	23.9	15.9
50	432.6	292.6	184.6	141.7	98.7	92.2	86.3	61.0	35.6
100	553.7	460.1	373.2	274.2	175.3	120.6	99.9	98.6	97.4
150	597.0	515.3	439.9	375.6	311.3	242.6	188.2	145.9	103.5
200	648.8	573.7	502.3	441.4	380.5	316.5	266.1	218.1	170.2
250	713.1	631.5	554.8	492.3	429.9	373.3	322.3	261.1	199.8
300	739.0	662.9	593.0	532.4	471.8	416.2	361.2	292.2	223.3
